time_ni,acel_ni
49.515,4.606857625
49.525,3.940048701
49.535,3.077039776
49.545,2.370930852
49.555,1.507921928
49.565,0.448813004
49.575,-0.53189592
49.585,-1.865604844
49.595,-3.081613769
49.605,-3.983822693
49.615,-4.846831617
49.625,-5.592140541
49.635,-6.768949465
49.645,-6.84745839
49.655,-6.533567314
49.665,-6.533576238
49.675,-5.866785162
49.685,-5.121494086
49.695,-4.140803011
49.705,-2.924811935
49.715,-1.904920859
49.725,-0.571229783
49.735,0.527061293
49.745,1.429352368
49.755,3.116043444
49.765,1.93923452
49.775,3.822125596
49.785,4.606616672
49.795,5.234207748
49.805,5.901098823
49.815,5.547989899
49.825,5.194980975
49.835,4.763472051
49.845,4.802663127
49.855,4.645754202
49.865,4.410445278
49.875,3.978936354
49.885,3.23362743
49.895,2.527518506
49.905,1.743009581
49.915,0.644600657
49.925,-0.571408267
49.935,-2.218917191
49.945,-3.238826115
49.955,-3.94493504
49.965,-4.925643964
49.975,-5.317852888
49.985,-5.710161812
49.995,-6.063170736
50.005,-6.06317966
50.015,-5.867088585
50.025,-5.553297509
50.035,-4.337306433
50.045,-3.356615357
50.055,-2.454424281
50.065,-1.277633206
50.075,-0.02234213
50.085,1.311348946
50.095,2.291940022
50.105,6.136131098
50.115,4.017922173
50.125,4.606313249
50.135,5.312404325
50.145,5.743895401
50.155,5.430086477
